Luxembourg,27.1
Iceland,19.7
Montenegro,19.6
Latvia,18.8
Ireland,16.7
Malta,16.6
Denmark,16.1
Croatia,15.2
Georgia,14.9
Estonia,13.6
Slovenia,13.3
Norway,13.1
Mongolia,12.8
Bosnia and Herzegovina,12.8
United Kingdom,12.8
Oman,12.7
Kuwait,12.6
Portugal,12.3
Serbia,12.1
Israel,11.8
North Macedonia,11.8
Libya,11.1
Cyprus,11.1
Bahrain,11.1
Qatar,10.3
Hong Kong,10.3
New Caledonia,10.0
Armenia,9.76
New Zealand,9.56
France,9.45
French Polynesia,9.22
Maldives,8.66
Romania,8.37
Slovakia,7.59
Kazakhstan,7.36
Czech Republic,7.31
Saudi Arabia,7.06
Macau,7.04
Finland,6.7
Seychelles,6.25
Lebanon,6.22
Mauritius,6.22
Azerbaijan,6.11
Nauru,6.09
Greece,5.71
Bahamas,5.66
Moldova,5.61
Albania,5.61
Fiji,5.56
Hungary,5.5
Kyrgyzstan,5.36
Uruguay,5.15
Barbados,5.15
Grenada,5.03
Chile,4.91
Marshall Islands,4.82
Antigua and Barbuda,4.68
Iraq,4.41
Saint Vincent and the Grenadines,4.11
Panama,4.05
Guyana,3.91
Dominica,3.89
Belize,3.8
Japan,3.76
Taiwan,3.71
Saint Lucia,3.66
Ukraine,3.4
Djibouti,3.29
Suriname,3.29
Turkmenistan,3.23
Tuvalu,3.18
Sweden,3.16
United States,3.14
Tajikistan,2.99
Venezuela,2.88
Australia,2.81
Paraguay,2.77
Saint Kitts and Nevis,2.57
United Arab Emirates,2.54
Lithuania,2.53
Germany,2.51
Uzbekistan,2.47
Belarus,2.46
Namibia,2.45
Tunisia,2.22
Costa Rica,2.21
Bolivia,2.14
Austria,1.99
Botswana,1.86
Cape Verde,1.76
Argentina,1.68
Switzerland,1.67
Vanuatu,1.53
Turkey,1.49
Honduras,1.49
Jordan,1.48
El Salvador,1.46
Jamaica,1.44
Trinidad and Tobago,1.43
South Africa,1.42
Nicaragua,1.39
Ivory Coast,1.37
Morocco,1.31
Tonga,1.3
Yemen,1.19
Mauritania,1.18
Ecuador,1.17
Philippines,1.16
Syria,1.1
Russia,1.09
Gambia,1.09
Dominican Republic,1.07
Spain,0.95
Gabon,0.92
South Korea,0.91
Republic of the Congo,0.82
Bhutan,0.72
Sao Tome and Principe,0.71
Colombia,0.66
Comoros,0.66
Guatemala,0.62
Iran,0.55
Papua New Guinea,0.54
Micronesia,0.51
Somalia,0.47
Guinea,0.4
Lesotho,0.38
Angola,0.36
Nepal,0.36
Sierra Leone,0.35
Laos,0.34
Netherlands,0.32
Mali,0.31
Zimbabwe,0.29
South Sudan,0.28
Belgium,0.28
Togo,0.27
Algeria,0.26
Central African Republic,0.24
Samoa,0.24
Benin,0.23
Sudan,0.22
Cambodia,0.21
Canada,0.2
Senegal,0.2
Liberia,0.2
Cuba,0.19
Kiribati,0.18
Thailand,0.17
Cameroon,0.17
Bulgaria,0.17
Ghana,0.16
Solomon Islands,0.16
Afghanistan,0.15
Burkina Faso,0.14
Chad,0.14
Kenya,0.13
Mozambique,0.13
Haiti,0.13
Brazil,0.12
Vietnam,0.12
Rwanda,0.12
Nigeria,0.1
China,0.09
Tanzania,0.09
Italy,0.09
Egypt,0.08
Indonesia,0.07
Poland,0.07
DR Congo,0.06
Myanmar,0.06
Madagascar,0.06
Sri Lanka,0.06
Pakistan,0.05
Bangladesh,0.05
Uganda,0.05
Malaysia,0.03
Peru,0.03
Malawi,0.03
India,0.02
Niger,0.02
Burundi,0.02
Ethiopia,0.01
Mexico,0.01
