Brazil, 3200000
Vietnam, 2000000
Indonesia, 794800
Colombia, 665000
Ethiopia, 496200
Uganda, 393900
Peru, 352600
India, 338600
Honduras, 315500
Central African Republic, 306900
Guinea, 261600
Guatemala, 225500
Mexico, 181700
Laos, 171000
Nicaragua, 170200
China, 108900
Costa Rica, 79200
Ivory Coast, 70000
Tanzania, 67200
DR Congo, 58800
Philippines, 58300
Venezuela, 57200
Kenya, 51900
Madagascar, 50300
Papua New Guinea, 40800
Yemen, 36500
El Salvador, 30700
Cameroon, 26400
Togo, 25100
Bolivia, 23200
Dominican Republic, 20600
Rwanda, 18900
Thailand, 18700
Burundi, 17200
Angola, 16800
Timor-Leste, 11700
Malawi, 11000
Myanmar, 8900
Zambia, 8600
Jamaica, 8600
Ecuador, 8000
Panama, 7500
Cuba, 6300
Haiti, 5100
Sri Lanka, 4800
Equatorial Guinea, 4100
Malaysia, 3800
Republic of the Congo, 3100
Sierra Leone, 2600
United States, 2400
Nigeria, 1900
Taiwan, 886
Puerto Rico, 843
Mozambique, 816
Ghana, 736
Trinidad and Tobago, 681
Zimbabwe, 661
Liberia, 654
Guyana, 600
Cambodia, 374
Dominica, 370
Nepal, 355
Paraguay, 341
Saint Vincent and the Grenadines, 180
Comoros, 141
Gabon, 104
Belize, 90
Benin, 55
Cape Verde, 47
Vanuatu, 36
French Polynesia, 21
Tonga, 15
Fiji, 14
Samoa, 12
Sao Tome and Principe, 8
Suriname, 6
New Caledonia, 2
Cook Islands, 0
