Switzerland,2.7
Germany,6.4
Netherlands,8.8
Slovenia,9.4
is,9.6
Cyprus,9.9
Malta,10
Bulgaria,10.1
Czech Republic,10.4
Poland,10.4
Austria,11.2
Norway,11.2
Ireland,11.3
Latvia,12.8
United Kingdom,12.9
Hungary,13.8
Lithuania,14.1
Turkey,14.9
Croatia,16.1
Denmark,16.1
Slovakia,16.7
Kosovo,17.3
Belgium,17.5
Moldova,17.6
France,18.6
Italy,18.7
Estonia,18.9
Albania,19.1
Greece,19.5
Portugal,19.5
Finland,20.1
Luxembourg,21.6
Sweden,25.2
Spain,25.3
Serbia,25.8
Romania,26.3
