China,8.89
United States,14.21
India,1.89
Russia,13.11
Japan,8.66
Indonesia,2.48
Iran,7.67
Germany,8.01
South Korea,12.27
Saudi Arabia,18.89
Canada,14.99
Mexico,3.79
Turkey,5.53
Brazil,2.22
South Africa,6.49
Australia,15.01
United Kingdom,5
Vietnam,3.29
Italy,5.42
Poland,8.39
France,4.76
Thailand,3.94
Malaysia,8
Taiwan,11.77
Egypt,2.36
Spain,5.32
Kazakhstan,12.27
United Arab Emirates,21.36
Pakistan,0.82
Iraq,4.4
Argentina,4.05
Algeria,3.89
Philippines,1.36
Netherlands,7.52
Ukraine,3.23
Uzbekistan,3.79
Nigeria,0.55
Kuwait,23.99
Bangladesh,0.64
Qatar,35.48
Czech Republic,9.51
Venezuela,3.44
Chile,4.75
Oman,19.38
Belgium,7.77
Colombia,1.71
Romania,4.03
Morocco,1.95
Turkmenistan,9.67
Libya,8.69
Israel,6.79
Peru,1.84
Austria,6.75
Belarus,6.26
Greece,5.45
North Korea,2.07
Singapore,9.46
Bulgaria,7.34
Hungary,4.88
Ecuador,2.59
Norway,7.75
Portugal,3.96
Bahrain,24.75
Sweden,3.61
Ireland,7.39
Myanmar,0.7
Finland,6.7
Azerbaijan,3.61
Switzerland,4.11
Tunisia,2.96
Slovakia,6.44
Hong Kong,4.34
New Zealand,6.31
Trinidad and Tobago,19.53
Denmark,4.94
Syria,1.26
Cuba,2.24
Sudan,0.5
Ghana,0.74
Lebanon,4.14
Jordan,2.09
Dominican Republic,2.09
Mongolia,6.53
Bolivia,1.82
Bosnia and Herzegovina,6.81
Kenya,0.4
Ethiopia,0.17
Angola,0.57
Laos,2.66
Guatemala,1.13
Sri Lanka,0.81
Cambodia,1.02
Croatia,4.41
Tanzania,0.26
Nepal,0.53
Côte d'Ivoire,0.48
Slovenia,6.59
Lithuania,4.71
Puerto Rico,3.89
Yemen,0.32
Senegal,0.68
Georgia,3.17
Panama,2.59
Estonia,8.03
Honduras,1.01
Tajikistan,1.04
Kyrgyzstan,1.48
Zimbabwe,0.64
Cameroon,0.36
Mozambique,0.31
Paraguay,1.47
Benin,0.7
Brunei,20.59
Zambia,0.46
Moldova,2.85
Costa Rica,1.69
Uruguay,2.52
North Macedonia,4.53
Botswana,3.37
El Salvador,1.27
Luxembourg,11.61
Uganda,0.16
Cyprus,5.6
Congo,1.23
Mali,0.29
Latvia,3.56
Armenia,2.2
Jamaica,2.14
Burkina Faso,0.26
Nicaragua,0.85
Afghanistan,0.14
Malawi,0.27
Gabon,2.27
New Caledonia,18.67
Equatorial Guinea,2.8
Papua New Guinea,0.46
Mauritania,0.95
Albania,1.59
Namibia,1.48
Mauritius,3.36
Guyana,4.63
Guinea,0.27
Iceland,9.36
DR Congo,0.03
Haiti,0.3
Suriname,5.28
Madagascar,0.1
Reunion,3.14
Niger,0.1
Togo,0.27
Macao,3.19
Maldives,4.16
Chad,0.11
Malta,3.25
Bhutan,2.19
Fiji,1.84
Rwanda,0.12
Liberia,0.3
Bahamas,3.64
Palau,76.41
Eswatini,1.11
Sierra Leone,0.13
Seychelles,8.72
Cabo Verde,1.95
French Polynesia,3.41
Somalia,0.05
Burundi,0.07
Guadeloupe,2.35
Martinique,2.57
Eritrea,0.24
Lesotho,0.34
Djibouti,0.67
Barbados,2.39
Gibraltar,17.65
Gambia,0.23
Timor-Leste,0.42
Greenland,8.32
Aruba,4.22
Samoa,1.65
French Guiana,1.19
Guinea-Bissau,0.17
Comoros,0.41
Solomon Islands,0.41
Bermuda,4.9
Cayman Islands,4.29
Antigua and Barbuda,2.99
Central African Republic,0.05
Belize,0.67
Saint Lucia,1.43
Western Sahara,0.42
Vanuatu,0.7
Tonga,1.59
Sao Tome and Principe,0.7
Grenada,1.05
Cook Islands,7.32
Saint Kitts and Nevis,2.18
Turks and Caicos Islands,1.93
Saint Vincent and the Grenadines,0.81
Kiribati,0.57
Dominica,1.03
British Virgin Islands,1.69
Saint Pierre and Miquelon,6.47
Anguilla,1.61
Falkland Islands,6.24
Saint Helena,3.35
Faroe Islands,0.04
